vuosi	\ year
vaikeus 	\
ehto 		\
taide 		\
ehdotus 	\
jälki 		\
katu 		\
muoto 		\
tappio 		\
jatko 		\
näkemys 	\
mestari 	\
teollisuus 	\
kilo 		\
käsittely 	\
vaimo 		\
tunne 		\
helmikuu 	\
ote 		\
huhtikuu 	\
uhri 		\
idea 		\
rahoitus 	\
viikonloppu 	\
liikevaihto 	\
kärki 		\
laulu 		\
eläke 		\
laatu 		\
koira 		\
vastaus 	\
seuraus 	\
joulu 		\
työttömyys 	\
kotimaa 	\
väli 		\
lista 		\
valo 		\
jakso 		\
vuosituhat 	\
Venäläinen 	\
lausunto 	\
kaupunginhallitus 	\
virhe 			\
asiantuntija 		\
kuljettaja 		\
onnettomuus 		\
eläin 			\
uudistus 		\
ase 			\
korvaus 		\
vastustaja 		\
käräjäoikeus 		\
työtön 			\
ilma 			\
sotilas 		\
tunnelma 		\
pääkaupunki 		\
kokonaisuus 		\
viesti 			\
ravintola 		\
vero 			\
aamu 			\
kuolema 		\
pinta 			\
taito 			\
henkilökunta 		\
puute 			\
ohjaaja 		\
pari 			\
vaara 			\
ikä 			\
maksu 			\
riski 			\
työnantaja 		\
numero 			\
vanhus 			\
huippukokous 		\
osapuoli 		\
vuosisata 		\
mielipide 		\
kuluttaja 		\
tuomio 			\
paperi 			\
yllätys 		\
tekniikka 		\
verkko 			\
opetus 			\
kirjoittaja 		\
suosio 			\
lääni 			\
vuoro 			\
isku 			\
pakko 			\
summa 			\
pääjohtaja 		\
aikuinen 		\
mitali 			\
henkilöstö 		\
tontti 			\
peruste 		\
lukio 			\
aikataulu 		\
sääntö 			\
tavara 			\
rikos 			\
finaali 		\
kunnia 			\
käynti 			\
kaveri 			\
vahinko 		\
virkamies 		\
perinne 		\
saari 			\
uutinen 		\
kysyntä 		\
näyttelijä 		\
poliitikko 		\
demari 			\
jäsenmaa 		\
naapuri 		\
paine 			\
yksikkö 		\
maaseutu 		\
osasto 			\
sydän 			\
laite 			\
raportti 		\
väri 			\
jää 			\
piha 			\
haaste 			\
tyyli 			\
kuu 			\
tytär 			\
ykkönen 		\
käsitys 		\
näkökulma 		\
tuuli 			\
hyöty 			\
isäntä 			\
ennätys 		\
suu 			\
sähkö 			\
kala 			\
yhteisö 		\
investointi 		\
pöytä 			\
turnaus 		\
kohtalo 		\
tietokone 		\
palo 			\
maatalous 		\
miljardi 		\
aine 			\
vihreä 			\
toive 			\
kilpailija 		\
haastattelu 		\
paikkakunta 		\
rakkaus 		\
serbi 			\
korko 			\
unioni 			\
